# ICC Profile MPE CurveSet Export
# Tag: AToB1Tag
# Element: 0
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.093772896	0.009083456	0.009083456	0.009083456
0.094017096	0.009119282	0.009119282	0.009119282
0.094261296	0.009155188	0.009155188	0.009155188
0.094505496	0.009191178	0.009191178	0.009191178
0.094749697	0.009227249	0.009227249	0.009227249
0.094993897	0.009263404	0.009263404	0.009263404
0.095238097	0.009299641	0.009299641	0.009299641
0.095482297	0.009335958	0.009335958	0.009335958
0.095726497	0.009372362	0.009372362	0.009372362
0.095970698	0.009408846	0.009408846	0.009408846
0.096214898	0.009445413	0.009445413	0.009445413
0.096459098	0.009482063	0.009482063	0.009482063
0.096703298	0.009518798	0.009518798	0.009518798
0.096947499	0.009555612	0.009555612	0.009555612
0.097191699	0.009592511	0.009592511	0.009592511
0.097435899	0.009629494	0.009629494	0.009629494
0.097680099	0.009666556	0.009666556	0.009666556
0.097924300	0.009703705	0.009703705	0.009703705
0.098168500	0.009740937	0.009740937	0.009740937
0.098412700	0.009778249	0.009778249	0.009778249
0.098656900	0.009815647	0.009815647	0.009815647
0.098901100	0.009853129	0.009853129	0.009853129
0.099145301	0.009890691	0.009890691	0.009890691
0.099389501	0.009928340	0.009928340	0.009928340
0.099633701	0.009966069	0.009966069	0.009966069
0.099877901	0.010003884	0.010003884	0.010003884
0.100122102	0.010041784	0.010041784	0.010041784
0.100366302	0.010079763	0.010079763	0.010079763
0.100610502	0.010117830	0.010117830	0.010117830
0.100854702	0.010155980	0.010155980	0.010155980
0.101098903	0.010194210	0.010194210	0.010194210
0.101343103	0.010232528	0.010232528	0.010232528
0.101587303	0.010270929	0.010270929	0.010270929
0.101831503	0.010309412	0.010309412	0.010309412
0.102075703	0.010347981	0.010347981	0.010347981
0.102319904	0.010386635	0.010386635	0.010386635
0.102564104	0.010425369	0.010425369	0.010425369
0.102808304	0.010464191	0.010464191	0.010464191
0.103052504	0.010503097	0.010503097	0.010503097
0.103296705	0.010542084	0.010542084	0.010542084
0.103540905	0.010581158	0.010581158	0.010581158
0.103785105	0.010620316	0.010620316	0.010620316
0.104029305	0.010659557	0.010659557	0.010659557
0.104273506	0.010698885	0.010698885	0.010698885
0.104517706	0.010738294	0.010738294	0.010738294
0.104761906	0.010777790	0.010777790	0.010777790
0.105006106	0.010817371	0.010817371	0.010817371
