# ICC Profile MPE CurveSet Export
# Tag: BToA1Tag
# Element: 1
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.050061051	0.247954518	0.247954518	0.247954518
0.050305251	0.248569399	0.248569399	0.248569399
0.050549451	0.249182552	0.249182552	0.249182552
0.050793651	0.249793947	0.249793947	0.249793947
0.051037852	0.250403672	0.250403672	0.250403672
0.051282052	0.251011699	0.251011699	0.251011699
0.051526252	0.251617998	0.251617998	0.251617998
0.051770452	0.252222657	0.252222657	0.252222657
0.052014653	0.252825677	0.252825677	0.252825677
0.052258853	0.253426999	0.253426999	0.253426999
0.052503053	0.254026711	0.254026711	0.254026711
0.052747253	0.254624784	0.254624784	0.254624784
0.052991454	0.255221248	0.255221248	0.255221248
0.053235654	0.255816102	0.255816102	0.255816102
0.053479854	0.256409407	0.256409407	0.256409407
0.053724054	0.257001102	0.257001102	0.257001102
0.053968254	0.257591218	0.257591218	0.257591218
0.054212455	0.258179784	0.258179784	0.258179784
0.054456655	0.258766830	0.258766830	0.258766830
0.054700855	0.259352326	0.259352326	0.259352326
0.054945055	0.259936273	0.259936273	0.259936273
0.055189256	0.260518730	0.260518730	0.260518730
0.055433456	0.261099696	0.261099696	0.261099696
0.055677656	0.261679173	0.261679173	0.261679173
0.055921856	0.262257159	0.262257159	0.262257159
0.056166057	0.262833685	0.262833685	0.262833685
0.056410257	0.263408750	0.263408750	0.263408750
0.056654457	0.263982356	0.263982356	0.263982356
0.056898657	0.264554501	0.264554501	0.264554501
0.057142857	0.265125245	0.265125245	0.265125245
0.057387058	0.265694559	0.265694559	0.265694559
0.057631258	0.266262472	0.266262472	0.266262472
0.057875458	0.266828984	0.266828984	0.266828984
0.058119658	0.267394066	0.267394066	0.267394066
0.058363859	0.267957807	0.267957807	0.267957807
0.058608059	0.268520147	0.268520147	0.268520147
0.058852259	0.269081116	0.269081116	0.269081116
0.059096459	0.269640744	0.269640744	0.269640744
0.059340660	0.270199060	0.270199060	0.270199060
0.059584860	0.270755976	0.270755976	0.270755976
0.059829060	0.271311611	0.271311611	0.271311611
0.060073260	0.271865875	0.271865875	0.271865875
0.060317460	0.272418886	0.272418886	0.272418886
0.060561661	0.272970557	0.272970557	0.272970557
0.060805861	0.273520947	0.273520947	0.273520947
0.061050061	0.274070024	0.274070024	0.274070024
0.061294261	0.274617821	0.274617821	0.274617821
0.061538462	0.275164366	0.275164366	0.275164366
0.061782662	0.275709629	0.275709629	0.275709629
0.062026862	0.276253670	0.276253670	0.276253670
0.062271062	0.276796430	0.276796430	0.276796430
0.062515266	0.277337998	0.277337998	0.277337998
0.062759466	0.277878284	0.277878284	0.277878284
0.063003667	0.278417349	0.278417349	0.278417349
0.063247867	0.278955221	0.278955221	0.278955221
0.063492067	0.279491842	0.279491842	0.279491842
0.063736267	0.280027300	0.280027300	0.280027300
0.063980468	0.280561566	0.280561566	0.280561566
0.064224668	0.281094611	0.281094611	0.281094611
0.064468868	0.281626493	0.281626493	0.281626493
0.064713068	0.282157212	0.282157212	0.282157212
0.064957269	0.282686740	0.282686740	0.282686740
0.065201469	0.283215135	0.283215135	0.283215135
0.065445669	0.283742338	0.283742338	0.283742338
0.065689869	0.284268409	0.284268409	0.284268409
0.065934069	0.284793347	0.284793347	0.284793347
0.066178270	0.285317183	0.285317183	0.285317183
0.066422470	0.285839856	0.285839856	0.285839856
0.066666670	0.286361396	0.286361396	0.286361396
0.066910870	0.286881864	0.286881864	0.286881864
0.067155071	0.287401199	0.287401199	0.287401199
0.067399271	0.287919462	0.287919462	0.287919462
0.067643471	0.288436592	0.288436592	0.288436592
0.067887671	0.288952649	0.288952649	0.288952649
0.068131872	0.289467633	0.289467633	0.289467633
0.068376072	0.289981514	0.289981514	0.289981514
0.068620272	0.290494353	0.290494353	0.290494353
0.068864472	0.291006118	0.291006118	0.291006118
0.069108672	0.291516840	0.291516840	0.291516840
0.069352873	0.292026490	0.292026490	0.292026490
0.069597073	0.292535126	0.292535126	0.292535126
0.069841273	0.293042690	0.293042690	0.293042690
0.070085473	0.293549240	0.293549240	0.293549240
0.070329674	0.294054717	0.294054717	0.294054717
0.070573874	0.294559240	0.294559240	0.294559240
0.070818074	0.295062691	0.295062691	0.295062691
0.071062274	0.295565128	0.295565128	0.295565128
0.071306475	0.296066582	0.296066582	0.296066582
0.071550675	0.296567053	0.296567053	0.296567053
0.071794875	0.297066480	0.297066480	0.297066480
0.072039075	0.297564954	0.297564954	0.297564954
0.072283275	0.298062474	0.298062474	0.298062474
0.072527476	0.298558950	0.298558950	0.298558950
0.072771676	0.299054474	0.299054474	0.299054474
0.073015876	0.299549043	0.299549043	0.299549043
0.073260076	0.300042659	0.300042659	0.300042659
0.073504277	0.300535262	0.300535262	0.300535262
0.073748477	0.301026940	0.301026940	0.301026940
0.073992677	0.301517695	0.301517695	0.301517695
0.074236877	0.302007496	0.302007496	0.302007496
0.074481077	0.302496344	0.302496344	0.302496344
0.074725278	0.302984238	0.302984238	0.302984238
0.074969478	0.303471237	0.303471237	0.303471237
0.075213678	0.303957283	0.303957283	0.303957283
0.075457878	0.304442436	0.304442436	0.304442436
0.075702079	0.304926664	0.304926664	0.304926664
0.075946279	0.305409998	0.305409998	0.305409998
0.076190479	0.305892378	0.305892378	0.305892378
0.076434679	0.306373924	0.306373924	0.306373924
0.076678880	0.306854516	0.306854516	0.306854516
0.076923080	0.307334244	0.307334244	0.307334244
0.077167280	0.307813078	0.307813078	0.307813078
0.077411480	0.308291018	0.308291018	0.308291018
0.077655680	0.308768123	0.308768123	0.308768123
0.077899881	0.309244305	0.309244305	0.309244305
0.078144081	0.309719622	0.309719622	0.309719622
0.078388281	0.310194075	0.310194075	0.310194075
0.078632481	0.310667694	0.310667694	0.310667694
0.078876682	0.311140448	0.311140448	0.311140448
0.079120882	0.311612338	0.311612338	0.311612338
0.079365082	0.312083364	0.312083364	0.312083364
0.079609282	0.312553585	0.312553585	0.312553585
0.079853483	0.313022941	0.313022941	0.313022941
0.080097683	0.313491434	0.313491434	0.313491434
0.080341883	0.313959122	0.313959122	0.313959122
0.080586083	0.314426005	0.314426005	0.314426005
0.080830283	0.314892024	0.314892024	0.314892024
0.081074484	0.315357238	0.315357238	0.315357238
0.081318684	0.315821677	0.315821677	0.315821677
0.081562884	0.316285223	0.316285223	0.316285223
0.081807084	0.316748023	0.316748023	0.316748023
0.082051285	0.317209989	0.317209989	0.317209989
0.082295485	0.317671150	0.317671150	0.317671150
0.082539685	0.318131536	0.318131536	0.318131536
0.082783885	0.318591088	0.318591088	0.318591088
0.083028086	0.319049895	0.319049895	0.319049895
0.083272286	0.319507897	0.319507897	0.319507897
0.083516486	0.319965124	0.319965124	0.319965124
0.083760686	0.320421547	0.320421547	0.320421547
0.084004886	0.320877224	0.320877224	0.320877224
0.084249087	0.321332127	0.321332127	0.321332127
0.084493287	0.321786225	0.321786225	0.321786225
0.084737487	0.322239578	0.322239578	0.322239578
0.084981687	0.322692186	0.322692186	0.322692186
0.085225888	0.323144019	0.323144019	0.323144019
0.085470088	0.323595107	0.323595107	0.323595107
0.085714288	0.324045449	0.324045449	0.324045449
0.085958488	0.324495047	0.324495047	0.324495047
0.086202689	0.324943870	0.324943870	0.324943870
0.086446889	0.325391978	0.325391978	0.325391978
0.086691089	0.325839341	0.325839341	0.325839341
0.086935289	0.326285988	0.326285988	0.326285988
0.087179489	0.326731861	0.326731861	0.326731861
0.087423690	0.327177018	0.327177018	0.327177018
0.087667890	0.327621490	0.327621490	0.327621490
0.087912090	0.328065187	0.328065187	0.328065187
0.088156290	0.328508198	0.328508198	0.328508198
0.088400491	0.328950495	0.328950495	0.328950495
0.088644691	0.329392076	0.329392076	0.329392076
0.088888891	0.329832911	0.329832911	0.329832911
0.089133091	0.330273092	0.330273092	0.330273092
0.089377292	0.330712557	0.330712557	0.330712557
0.089621492	0.331151307	0.331151307	0.331151307
0.089865692	0.331589371	0.331589371	0.331589371
0.090109892	0.332026750	0.332026750	0.332026750
0.090354092	0.332463413	0.332463413	0.332463413
0.090598293	0.332899392	0.332899392	0.332899392
0.090842493	0.333334714	0.333334714	0.333334714
0.091086693	0.333769321	0.333769321	0.333769321
0.091330893	0.334203273	0.334203273	0.334203273
0.091575094	0.334636539	0.334636539	0.334636539
0.091819294	0.335069150	0.335069150	0.335069150
0.092063494	0.335501045	0.335501045	0.335501045
