warning: 422 functions have mismatched data
Filename                                                                          Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
home/h02332/po/research/cfl/icc_toxml_fuzzer.cpp                                       24                 5    79.17%           2                 0   100.00%          28                 4    85.71%          14                 5    64.29%
home/h02332/po/research/cfl/icc_v5dspobs_fuzzer.cpp                                   775               467    39.74%           2                 0   100.00%         532               309    41.92%         384               257    33.07%

Files which contain no functions:
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccConvertUTF.h                           0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccDefs.h                                 0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccProfLibConf.h                          0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/icProfileHeader.h                         0                 0         -           0                 0         -           0                 0         -           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccXML/IccLibXML/IccXmlConfig.h                      0                 0         -           0                 0         -           0                 0         -           0                 0         -
usr/include/libxml2/libxml/globals.h                                                    0                 0         -           0                 0         -           0                 0         -           0                 0         -
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                               34470             12676    63.23%        3291              1218    62.99%       50040             19441    61.15%       25436             10564    58.47%
___BEGIN___COMMAND_DONE_MARKER___0
